ID,Year,Host,strain name
EPI3194415,2024,Anseriformes,A/mute_swan/Czech_Republic/4316/2024
EPI2306597,2022,Galliformes,A/chicken/Saratov/245-1V/2022
EPI1957969,2021,Anseriformes,A/goose/Orenburg/46-3V/2021
EPI2129903,2022,Anseriformes,A/domestic_duck/England/104859/2022
EPI2069030,2022,Aves,A/Northern goshawk/Sweden/SVA220525SZ0403/FB001672/N-2022
EPI2332833,2022,Accipitriformes,A/Buteo_buteo/Belgium/00331-0007/2022
EPI1957961,2021,Galliformes,A/chicken/Orenburg/46-2V/2021
EPI2744854,2023,Anseriformes,A/pink-footed_goose/England/398763/2023
EPI3395036,2023,Galliformes,A/Gallus gallus/Mato Grosso do Sul/2108-SN52/2023
EPI3306073,2022,Aves,A/Black-Billed_Magpie/AB/FAV-0833-14/2022
EPI2613654,2023,Aves,A/red-tailed hawk/Colorado/23-005618-001/2023
EPI2029874,2022,Anseriformes,A/duck/Hubei/SE220/2022(H5N1)
EPI2071336,2021,Anseriformes,A/barnacle_goose/England/293824/2021
EPI3312738,2022,Aves,A/Mixed/BC/FAV-1099-1/2022
EPI1930035,2021,Anseriformes,A/greylag goose/Netherlands/21038036-002/2021
EPI2306589,2022,Galliformes,A/chicken/Chelyabinsk/241-5V/2022
EPI2576590,2023,Charadriiformes,A/black-headed gull/Austria/23061496-001/2023
EPI1957953,2021,Galliformes,A/chicken/Orenburg/46-2V/2021
EPI2744846,2023,Anseriformes,A/pink-footed_goose/England/122925/2023
EPI2188251,2022,Charadriiformes,A/common tern/Maine/W22-480B/2022
EPI3395028,2023,Aves,A/Buteogallus urubitinga/Espirito Santo/1630-SC/2023
EPI2613646,2023,Aves,A/Cooper's s hawk/Colorado/23-005617-001/2023
EPI2029866,2022,Anseriformes,A/duck/Hubei/SE128/2022(H5N1)
EPI1930027,2021,Anseriformes,A/mute swan/Netherlands/21038362-002/2021
EPI2071320,2021,Galliformes,A/chicken/England/062137/2021
EPI2232794,2022,Galliformes,A/Chicken/England/141539/2022
EPI2069014,2022,Aves,A/Northern gannet/Sweden/SVA220525SZ0402/FB001671/O-2022
EPI2576582,2023,Charadriiformes,A/black-headed gull/Austria/23061383-001/2023
EPI2849797,2023,Aves,A/Mallard/Netherlands/9/2023
EPI2306573,2022,Galliformes,A/chicken/Chelyabinsk/241-1V/2022
EPI1957945,2021,Galliformes,A/chicken/Orenburg/46-1V/2021
EPI2744838,2023,Aves,A/black-headed_gull/England/329874/2023
EPI3306057,2022,Aves,A/American_Crow/AB/FAV-0833-1/2022
EPI2613638,2023,Aves,A/red-tailed hawk/New York/23-005536-001/2023
EPI2744830,2023,Aves,A/Pheasant/Scotland/107939/2023
EPI2029858,2021,Anseriformes,A/duck/Hubei/S4465/2021(H5N1)
EPI2613630,2023,Aves,A/sanderling/California/23-005401-001/2023
EPI1930019,2021,Anseriformes,A/mute swan/Netherlands/21038362-001/2021
EPI2029850,2022,Anseriformes,A/duck/Guizhou/S1321/2022(H5N1)
EPI2071312,2021,Anseriformes,A/greylag_goose/Northern_Ireland/17077/2021
EPI2232786,2022,Anseriformes,A/domestic_duck/England/141358/2022
EPI2576574,2023,Charadriiformes,A/black-headed gull/Austria/23060170-008/2023
EPI1930011,2021,Galliformes,A/chicken/Netherlands/21038211-001/2021
EPI1957937,2021,Galliformes,A/chicken/Orenburg/46-1V/2021
EPI2188235,2022,Accipitriformes,A/bald eagle/Florida/W22-153A/2022
EPI3306049,2022,Aves,A/Turkey/AB/FAV-0428-1/2022
EPI2744822,2023,Aves,A/Pheasant/Scotland/107872/2023
EPI2613622,2023,Aves,A/red-tailed hawk/Wyoming/23-005384-001/2023
PQ135213,2024,Galliformes,A/Turkey/MI/24-012707-001-original/2024
EPI2029842,2021,Anseriformes,A/duck/Guangdong/S4525/2021(H5N1)
EPI2071304,2021,Galliformes,A/peafowl/England/061723/2021
EPI2232778,2022,Anseriformes,A/Indian_runner_ducks/England/140750/2022
EPI2576566,2023,Charadriiformes,A/black-headed gull/Austria/23060170-007/2023
EPI2232770,2022,Galliformes,A/turkey/England/140733/2022
EPI2188227,2022,Anseriformes,A/common eiders/Maine/W22-481B/2022
EPI1957921,2021,Anseriformes,A/goose/Chelyabinsk/34-1V/2021
EPI2744814,2023,Aves,A/Pheasant/Scotland/107797/2023
EPI2613614,2023,Aves,A/American crow/New York/23-005128-001/2023
EPI3632558,2024,Environment,A/environment/Kagoshima/KU-24D1/2024(H5N1)
EPI2029834,2021,Anseriformes,A/duck/Guangdong/S4518/2021(H5N1)
EPI2232762,2022,Galliformes,A/turkey/England/140663/2022
EPI2188219,2022,Anseriformes,A/snow goose/Kansas/W22-260/2022
EPI2576550,2023,Charadriiformes,A/black-headed gull/Austria/23058525-004/2023
EPI2613606,2023,Aves,A/great horned owl/New York/23-005127-001/2023
EPI2921496,2023,mammal,A/porpoise/Antofagasta/SJCEIRR-2465061/2023
EPI3632549,2024,Environment,A/environment/Kagoshima/KU-24B1/2024(H5N1)
EPI2706597,2022,Galliformes,A/turkey/Kansas/USDA-011119-002/2022
EPI2029826,2021,Galliformes,A/chicken/Jiangxi/S40653/2021(H5N1)
EPI2232754,2022,Galliformes,A/chicken/England/140572/2022
EPI3599592,2024,Primates,A/California/146/2024
EPI2576542,2023,Charadriiformes,A/black-headed gull/Austria/23058525-001/2023
EPI2188203,2022,Charadriiformes,A/common tern/Maine/W22-480A/2022
EPI2029818,2022,Galliformes,A/chicken/Anhui/S1740/2022(H5N1)
EPI3632533,2024,Environment,A/environment/Kagoshima/KU-24G1/2024(H5N1)
EPI3255793,2024,Anseriformes,A/mute swan/Slovakia/Vh-168/2024
PQ423498,2024,Artiodactyla,A/cattle/MI/24-015457-007-original/2024
EPI2576534,2023,Charadriiformes,A/black-headed gull/Austria/23056483-005/2023
EPI2988556,2022,Aves,A/Teal/Italy/22VIR9672-1/2022
EPI2644761,2023,Aves,A/whimbrel/Valparaiso/239946/2023
EPI2021095,2022,Anseriformes,A/mute swan/Czech Republic/785/2022
PP820322,2023,mammal,A/polar bear/Alaska/23-038123/2023
EPI3309992,2022,Aves,A/Common_Murre/NL/FAV-0861-2/2022
EPI120010,2006,Primates,A/Indonesia/TLL013/2006
EPI2082862,2021,Anseriformes,A/duck/Israel/589/2021
EPI2082861,2022,Charadriiformes,A/sandwich tern/Netherlands/22010908-002/2022
EPI2232738,2022,Anseriformes,A/domestic_goose/England/138821/2022
EPI2413780,2023,Anseriformes,A/ greylag goose/Sweden/SVA230203SZ0222/FB000288/M-2023
EPI2576526,2023,Charadriiformes,A/black-headed gull/Austria/23056483-003/2023
EPI2232730,2022,Galliformes,A/chicken/England/138597/2022
EPI2857340,2023,Aves,A/Canada_Goose/BC/AIVPHL-1448/2023
EPI2763983,2023,Charadriiformes,A/Chroicocephalus_ridibundus/Belgium/00814_0004/2023
EPI2560191,2023,Aves,A/common_buzzard/Spain/88-1_23VIR1687-5/2023
EPI2082853,2022,Charadriiformes,A/sandwich tern/Netherlands/22010908-001/2022
EPI3255776,2024,Anseriformes,A/mute swan/Slovakia/Vh-36/2024
EPI2413772,2023,Charadriiformes,A/European herring gull /Sweden/SVA230131SZ0416/FB000259/N-2023
EPI2576518,2023,Charadriiformes,A/black-headed gull/Austria/23054865-001/2023
EPI3048481,2023,Anseriformes,A/Branta_canadensis/Belgium/00173_0001/2023
EPI2232722,2022,Galliformes,A/chicken/England/138486/2022
EPI2576510,2023,Charadriiformes,A/black-headed gull/Austria/23052993-001/2023
PQ712153,2022,Strigiformes,A/Great horned owl/WY/22-039756-001-original-3/2022
EPI3309976,2022,Aves,A/Razorbill/NL/FAV-0861-4/2022
EPI3556416,2024,Primates,A/Missouri/121/2024
EPI2263891,2022,Aves,A/chicken/Florida/22-033389-001/2022
EPI2560183,2022,Anseriformes,A/barnacle_goose/Spain/4740-5_23VIR1687-3/2022
EPI2082845,2022,Charadriiformes,A/sandwich tern/Netherlands/22010742-002/2022
EPI3255768,2024,Anseriformes,A/Anser anser/Slovakia/Vh-32/2024
EPI2413764,2023,Anseriformes,A/barnacle goose/Sweden/SVA230127SZ0192/FB000243/K-2023
EPI2702196,2022,Anseriformes,A/Snow Goose/North Dakota/USDA-009593-002/2022
EPI2232714,2022,Galliformes,A/turkey/England/138429/2022
EPI2644734,2023,Sphenisciformes,A/humboldt penguin/Tarapaca/238744-2/2023
EPI2576502,2023,Charadriiformes,A/black-headed gull/Austria/23045023-001/2023
EPI2763963,2023,Anseriformes,A/Branta_canadensis/Belgium/00226_0004/2023
EPI2140297,2021,Galliformes,A/chicken/Italy/21VIR10470/2021
EPI2263883,2022,Aves,A/chicken/Oklahoma/22-033387-001/2022
EPI2560175,2023,Charadriiformes,A/black-headead_gull/Spain/840-3_23VIR1687-25/2023
EPI2082837,2022,Charadriiformes,A/sandwich tern/Netherlands/22010737-002/2022
EPI3255759,2024,Anseriformes,A/mute swan/Slovakia/Vh-30/2024
EPI2413756,2023,Anseriformes,A/barnacle goose/Sweden/SVA230125SZ0352/FB000208/O-2023
EPI2702188,2022,Anseriformes,A/Snow Goose/North Dakota/USDA-010036-001/2022
EPI2232706,2022,Galliformes,A/chicken/Wales/138294/2022
EPI3255751,2024,Galliformes,A/chicken/Slovakia/Vh-25/2024
PQ423458,2024,Artiodactyla,A/cattle/MI/24-015457-002-original/2024
EPI2626092,2023,Aves,A/Black-headed Gull/Netherlands/87/2023
EPI1941530,2021,Anseriformes,A/mute swan/Croatia/101/2021
EPI2652335,2023,Anseriformes,A/domestic_duck/Poland/H93-T1/2023
PQ423450,2024,Artiodactyla,A/cattle/MI/24-015457-001-original/2024
EPI2140288,2021,Galliformes,A/turkey/Italy/21VIR10398/2021
EPI2263875,2022,Aves,A/chicken/Idaho/22-033409-001/2022
EPI2082829,2022,Charadriiformes,A/sandwich tern/Netherlands/22010725-001/2022
EPI2413748,2023,Anseriformes,A/barnacle goose/Sweden/SVA230125SZ0350/FB000207/N-2023
EPI2751984,2022,Galliformes,A/chicken/Okayama/22A8T/2022
EPI2082821,2022,Charadriiformes,A/sandwich tern/Netherlands/22010437-002/2022
EPI3255743,2023,Galliformes,A/chicken/Slovakia/Vh-2032/2023
EPI2413740,2023,Aves,A/common buzzard/Sweden/SVA230125SZ0347/FB000204/O-2023
EPI2702172,2022,Anseriformes,A/Snow Goose/North Dakota/USDA-010037-001/2022
EPI2540584,2022,Aves,A/duck/Korea/H56/2022
PP755789,2024,Artiodactyla,A/cattle/Texas/24-009499-001/2024
EPI2857308,2023,Aves,A/Hooded_Merganser/BC/AIVPHL-1456/2023
EPI3309944,2022,Aves,A/Turkey/QC/FAV-0843-1/2022
EPI2263867,2022,Aves,A/chicken/Colorado/22-033394-001/2022
EPI2560159,2023,Galliformes,A/turkey/Spain/613-56_23VIR1687-22/2023
EPI2140270,2021,Galliformes,A/chicken/Italy/21VIR10394/2021
EPI2560151,2023,Aves,A/seagull/Spain/298-46_23VIR1687-21/2023
EPI3255734,2023,Aves,A/Tyto alba/Slovakia/Vh-2014/2023
EPI2626076,2023,Aves,A/Black-headed Gull/Netherlands/85/2023
EPI2702164,2022,Anseriformes,A/Snow Goose/North Dakota/USDA-010037-002/2022
EPI2791125,2023,Anseriformes,A/duck/Peru/LAM-INS-015/2023
EPI2540576,2022,Aves,A/duck/Korea/H38/2022
EPI3599523,2024,Artiodactyla,A/dairy cow/USA/24_025996-001/2024
EPI2351916,2022,Aves,A/Bubo_bubo/Belgium/09467_0001/2022
PP755773,2024,Artiodactyla,A/cattle/Kansas/24-009497-012/2024
EPI2606496,2022,Anseriformes,A/goose/Ohio/OH22-21298/2022
EPI3309936,2022,Aves,A/Razorbill/NL/FAV-0863-5/2022
EPI2263859,2022,Aves,A/chicken/Florida/22-035222-003/2022
EPI2132658,2021,Galliformes,A/chicken/South Africa/UP481/2021 (H5N1)
EPI3313186,2022,Aves,A/Chicken/SK/FAV-1257-1/2022
EPI3255726,2023,Aves,A/Strix uralensis/Slovakia/Vh-1878/2023
EPI2626068,2023,Aves,A/Black-headed Gull/Netherlands/84/2023
EPI2702156,2022,Anseriformes,A/Snow Goose/North Dakota/USDA-010037-005/2022
EPI2791117,2023,Anseriformes,A/duck/Peru/LAM-INS-014/2023
EPI2540568,2022,Aves,A/duck/Korea/H13/2022
EPI3599515,2024,Artiodactyla,A/dairy cow/USA/24_027654-001/2024
EPI2960197,2023,Aves,A/Whooper_Swan/England/267696/2023
